,,,,,
Incorporated Cities and Census Designated Places (CDP) by County in California,,,,,
Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),,Geoid
San Francisco County,"873,965",46.9,"18,629",,0500000US06075
San Francisco city,"873,965",46.9,"18,629",,1600000US0667000
San Joaquin County,"779,233","1,392.4",560,,0500000US06077
Acampo CDP,334,0.9,356,,1600000US0600156
August CDP,"8,628",1.3,"6,870",,1600000US0603209
Collierville CDP,"2,094",6.6,318,,1600000US0614708
Country Club CDP,"10,777",1.9,"5,622",,1600000US0616651
Dogtown CDP,"2,516",13.0,194,,1600000US0619440
Escalon city,"7,472",2.3,"3,280",,1600000US0622790
Farmington CDP,220,2.5,87,,1600000US0623630
French Camp CDP,"3,770",3.1,"1,218",,1600000US0626028
Garden Acres CDP,"11,398",2.6,"4,410",,1600000US0628182
Kennedy CDP,"3,223",1.2,"2,659",,1600000US0638065
Lathrop city,"28,701",19.8,"1,448",,1600000US0640704
Lincoln Village CDP,"4,401",0.7,"5,987",,1600000US0641558
Linden CDP,"1,863",7.4,251,,1600000US0641670
Lockeford CDP,"3,333",8.3,400,,1600000US0642104
Lodi city,"66,348",13.6,"4,864",,1600000US0642202
Manteca city,"83,498",21.4,"3,904",,1600000US0645484
Morada CDP,"4,054",3.0,"1,360",,1600000US0649180
Mountain House CDP,"24,499",4.6,"5,375",,1600000US0649582
Peters CDP,708,2.5,280,,1600000US0656798
Ripon city,"16,013",5.3,"3,007",,1600000US0661026
Stockton city,"320,804",62.2,"5,157",,1600000US0675000
Taft Mosswood CDP,"1,636",0.5,"3,515",,1600000US0677595
Terminous CDP,429,1.0,439,,1600000US0678232
Thornton CDP,"1,004",2.1,471,,1600000US0678568
Tracy city,"93,000",25.9,"3,592",,1600000US0680238
Victor CDP,313,1.3,248,,1600000US0682562
Waterloo CDP,534,5.4,98,,1600000US0683626
Woodbridge CDP,"4,031",3.0,"1,337",,1600000US0686230
San Luis Obispo County,"282,424","3,300.9",86,,0500000US06079
Arroyo Grande city,"18,441",5.9,"3,105",,1600000US0602868
Atascadero city,"29,773",26.1,"1,142",,1600000US0603064
Avila Beach CDP,"1,576",6.1,259,,1600000US0603330
Blacklake CDP,"1,016",1.0,972,,1600000US0606935
California Polytechnic State University CDP,"8,583",1.5,"5,576",,1600000US0609835
Callender CDP,"1,282",2.3,561,,1600000US0609948
Cambria CDP,"5,678",8.4,674,,1600000US0610074
Cayucos CDP,"2,505",3.1,808,,1600000US0612132
Creston CDP,98,0.6,174,,1600000US0617232
Edna CDP,184,1.2,151,,1600000US0621565
El Paso de Robles (Paso Robles) city,"31,490",19.7,"1,603",,1600000US0622300
Garden Farms CDP,449,1.1,411,,1600000US0628210
Grover Beach city,"12,701",2.3,"5,493",,1600000US0631393
Lake Nacimiento CDP,"2,956",10.5,282,,1600000US0639670
Los Berros CDP,623,2.5,248,,1600000US0644042
Los Osos CDP,"14,465",12.8,"1,133",,1600000US0644182
Los Ranchos CDP,"1,516",2.9,525,,1600000US0644242
