Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),Unnamed: 4,Geoid,geographic type
Kingsburg city,12380,3.717073592618962,3330.57704980152,,1600000US0638562,Suburban
Lanare CDP,540,2.020373453467738,267.2773189892949,,1600000US0640116,Rural
Laton CDP,1622,2.527420976467845,641.7609156139866,,1600000US0640746,Rural
Malaga CDP,884,0.2739248212733032,3227.162824788361,,1600000US0645232,Rural
Mayfair CDP,4831,0.5184132127253099,9318.821128426345,,1600000US0646400,Rural
Mendota city,12595,3.393172864121378,3711.865119863654,,1600000US0646828,Suburban
Millerton CDP,686,1.960392866685097,349.9298592939606,,1600000US0647592,Rural
Minkler CDP,867,5.855829447858445,148.0575907683024,,1600000US0647822,Rural
Monmouth CDP,120,0.3080547091337875,389.5411965537727,,1600000US0648592,Rural
Old Fig Garden CDP,5477,1.667111971175156,3285.322218722497,,1600000US0653505,Suburban
Orange Cove city,9649,1.791804826894951,5385.073114643248,,1600000US0654008,Suburban
Parlier city,14576,2.408662511177658,6051.491204084632,,1600000US0655856,Suburban
Raisin City CDP,303,0.7595297738831223,398.9310365687207,,1600000US0659290,Rural
Reedley city,25227,5.509348305860876,4578.944477546169,,1600000US0660242,Suburban
Riverdale CDP,3477,3.924719342328999,885.9232206745988,,1600000US0661096,Rural
Sanger city,26617,5.767252203485112,4615.196121285544,,1600000US0667056,Suburban
San Joaquin city,3701,1.197381223387908,3090.912006727712,,1600000US0667126,Rural
Selma city,24674,5.807665518141397,4248.522908718806,,1600000US0670882,Suburban
Shaver Lake CDP,580,32.28720789439951,17.96377072607154,,1600000US0671246,Rural
Squaw Valley CDP,3564,63.61357041036484,56.0257815590131,,1600000US0673794,Rural
Sunnyside CDP,4627,1.913111180437902,2418.573498138724,,1600000US0675994,Rural
Tarpey Village CDP,3997,0.7889974779805929,5065.922403491275,,1600000US0677960,Rural
Three Rocks CDP,248,0.7495976815336596,330.844139609127,,1600000US0678652,Rural
